
2021-01-16T04:10:30.848870,86,thermometer,processed,1
2021-01-16T04:10:30.848981,86,thermometer,detected,1
2021-01-16T04:10:31.249093,87,oximeter,processed,1
2021-01-16T04:10:31.249232,87,oximeter,detected,1
2021-01-16T04:10:31.649232,87,ecg,processed,1
2021-01-16T04:10:31.649417,87,ecg,detected,1
2021-01-16T04:10:31.849241,87,thermometer,processed,1
2021-01-16T04:10:31.849336,87,thermometer,detected,1
2021-01-16T04:10:32.249471,88,oximeter,processed,1
2021-01-16T04:10:32.249572,88,oximeter,detected,1
2021-01-16T04:10:33.249996,89,oximeter,processed,1
2021-01-16T04:10:33.250152,89,oximeter,detected,1
2021-01-16T04:10:33.650204,89,ecg,processed,1
2021-01-16T04:10:33.650373,89,ecg,detected,1
2021-01-16T04:10:33.850289,89,thermometer,processed,1
2021-01-16T04:10:34.050482,89,thermometer,detected,1
2021-01-16T04:10:34.250487,90,oximeter,processed,1
2021-01-16T04:10:34.250674,90,oximeter,detected,1
2021-01-16T04:10:34.650781,90,ecg,processed,1
2021-01-16T04:10:34.650999,90,ecg,detected,1
2021-01-16T04:10:34.850798,90,thermometer,processed,1
2021-01-16T04:10:34.850906,90,thermometer,detected,1
2021-01-16T04:10:35.251016,91,oximeter,processed,1
2021-01-16T04:10:35.251157,91,oximeter,detected,1
2021-01-16T04:10:35.651248,91,ecg,processed,1
2021-01-16T04:10:35.651447,91,ecg,detected,1
2021-01-16T04:10:35.851313,91,thermometer,processed,1
2021-01-16T04:10:35.851434,91,thermometer,detected,1
2021-01-16T04:10:36.251511,92,oximeter,processed,1
2021-01-16T04:10:36.251649,92,oximeter,detected,1
2021-01-16T04:10:36.651840,92,ecg,processed,1
2021-01-16T04:10:36.851802,92,thermometer,processed,1
2021-01-16T04:10:36.852002,92,thermometer,detected,1
2021-01-16T04:10:37.652182,93,ecg,processed,1
2021-01-16T04:10:37.652368,93,ecg,detected,1
2021-01-16T04:10:38.652847,94,ecg,processed,1
2021-01-16T04:10:38.653098,94,ecg,detected,1
2021-01-16T04:10:38.852850,94,thermometer,processed,1
2021-01-16T04:10:38.852966,94,thermometer,detected,1
2021-01-16T04:10:39.253218,95,oximeter,processed,1
2021-01-16T04:10:39.253438,95,oximeter,detected,1
2021-01-16T04:10:40.253603,96,oximeter,processed,1
2021-01-16T04:10:40.253723,96,oximeter,detected,1
2021-01-16T04:10:40.653790,96,ecg,processed,1
2021-01-16T04:10:40.653930,96,ecg,detected,1
2021-01-16T04:10:40.853924,96,thermometer,processed,1
2021-01-16T04:10:40.854111,96,thermometer,detected,1
2021-01-16T04:10:41.254106,97,oximeter,processed,1
2021-01-16T04:10:41.254306,97,oximeter,detected,1
2021-01-16T04:10:42.254594,98,oximeter,processed,1
2021-01-16T04:10:42.254759,98,oximeter,detected,1
2021-01-16T04:10:42.655042,98,ecg,processed,1
2021-01-16T04:10:42.655300,98,ecg,detected,1
2021-01-16T04:10:42.854947,98,thermometer,processed,1
2021-01-16T04:10:42.855081,98,thermometer,detected,1
2021-01-16T04:10:43.855508,99,thermometer,processed,1
2021-01-16T04:10:43.855688,99,thermometer,detected,1
2021-01-16T04:10:44.655941,100,ecg,processed,1
2021-01-16T04:10:44.656105,100,ecg,detected,1
2021-01-16T04:10:45.256309,101,oximeter,processed,1
2021-01-16T04:10:45.256498,101,oximeter,detected,1
2021-01-16T04:10:45.656562,101,ecg,processed,1
2021-01-16T04:10:45.656745,101,ecg,detected,1
2021-01-16T04:10:45.856600,101,thermometer,processed,1
2021-01-16T04:10:45.856721,101,thermometer,detected,1
2021-01-16T04:10:46.256955,102,oximeter,processed,1
2021-01-16T04:10:46.257115,102,oximeter,detected,1
